time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2025-06-14,114109,7838418,1753693997,1753693997,1.16518484588713737,73068830654.6399994586280638704,0,0,0.000009484711661504608,1.00032511619285,0.09401989301279842,0.033730795239573536,73045082515.506144,164975,225613,160008352.503822
2025-06-15,119734,7844532,1753693997,1753693997,1.164692450570515492,73052267928.75643258641984404832,0,0,0.000009478455636232248,1.00009836956853,0.06583520776081384,-0.022699683477715355,73045082515.506144,175082,250160,196465042.87645
2025-06-16,132043,7853416,1753693997,1753693997,1.165612897448986033,73093217950.44376214032631824248,0,0,0.000009331587427562349,1.00075614009384,0.13627481397320693,0.03397984382513345,73037990997.077347,202687,270573,317756466.683827
2025-06-17,149680,7862229,1753693998,1753693998,1.165992215607419513,73051401646.61040570098019198602,0,0,0.000009559389660617357,1.00018361197166,0.056014642854545674,0.04653093252858938,73037990997.077347,222954,308963,352422805.765002
2025-06-18,147379,7873483,1753693998,1753693998,1.163738400467368737,73831813657.74548390136800470051,1000000000,1000263803.64439,0.000009543284716453098,1.00026380364439,0.0761538707721556,0.006804682221674042,73812341693.005909,220707,303492,266820168.353314
2025-06-19,128785,7879385,1753693998,1753693998,1.163415387049170804,73824163877.80957072326144440261,0,0,0.00000955174131011139,1.00016016542129,0.055864885767183514,-0.019810806090146724,73812341693.005909,195554,258842,191746602.416858
2025-06-20,132362,7886692,1753693998,1753693998,1.163810139766419797,73831658960.74438854885971481095,0,0,0.000009685423446969478,1.00026170782955,0.08247962014281372,-0.005523346536713556,73812341693.005909,206722,276640,225168154.0655
2025-06-21,111332,7892603,1753693998,1753693998,1.164005341977282426,73877689651.05433567852813866074,0,0,0.000009856259010945289,1.00088532563186,0.13461867635658564,0.06277250912279511,73812341693.005909,180319,248324,165369137.356343
2025-06-22,111100,7901445,1753693999,1753693999,1.163202334890058504,73834816795.67880623899285912579,0,0,0.000009913895761188973,1.00030448976631,0.07757818315112133,0.020434281964155632,73812341693.005909,184360,255043,250567812.994988
2025-06-23,134272,7908243,1753693999,1753693999,1.162576758105411687,73872361644.63068810528880805053,0,0,0.000009486654981543703,1.00081314249417,0.13354345838153747,0.04566441642024977,73812341693.005909,199318,259870,339753147.739591
2025-06-24,135247,7915092,1753693999,1753693999,1.161189313716576015,73844805989.93489850834028275271,0,0,0.00000944131221069121,1.00043982207019,0.1281939170987511,0.011249081096288993,73812341693.005909,194031,257596,247322282.619567
2025-06-25,129459,7923294,1753694000,1753694000,1.160955073209960624,73852620443.8181948822182410205,0,0,0.000009324309988661316,1.0005456912745,0.0789342681138551,0.023231543275488736,73812341693.005909,175658,220016,173254468.875878
2025-06-26,140522,7931843,1753694000,1753694000,1.160686733524383066,73851356100.55277102625725622123,0,0,0.000009349613772559418,1.00052856211647,0.11861720066874812,0.01074509914036294,73812341693.005909,196806,256057,254436673.180829
2025-06-27,161189,7940100,1753694000,1753694000,1.160174387513992053,73855264336.85936971792032442333,0,0,0.000009343286485234988,1.00058151039337,0.20529381037266506,0.07573553547029299,73812341693.005909,219860,297849,160875612.274544
2025-06-28,113131,7943879,1753694001,1753694001,1.158781751745220479,73846305264.2050280395617594961,0,0,0.00000931894876585307,1.0004601340429,0.23382026269593423,0.04326525695619026,73812341693.005909,168792,219802,91426724.465778
2025-06-29,105824,7946957,1753694001,1753694001,1.158486400276411869,73825271173.37889644030732592113,0,0,0.000009230037322133319,1.00017516691757,0.17900992643966745,-0.024681714628440918,73812341693.005909,164020,214425,214681564.543525
2025-06-30,144532,7953257,1753694001,1753694001,1.151697099308789286,73829730060.44845702053423021915,0,0,0.00000933463954599795,1.00023557533935,0.1885112510678567,-0.029001242031331732,73812341693.005909,210178,265298,179957567.883908
2025-07-01,166977,7959491,1753694001,1753694001,1.000113275614266744,73837722317.39845327185342974123,0,0,0.000009475972133875911,1.00034385339647,0.14325708101793816,-0.014344760028265777,73812341693.005909,231463,297197,203441973.988741
2025-07-02,152222,7968363,1753694002,1753694002,1.000162864706599026,73841859532.31349325230350459584,0,0,0.000009184120267817017,1.00039990384576,0.20017739547223465,-0.0016405246354649554,73812341693.005909,222620,286723,239604935.091203
2025-07-03,157657,7976921,1753694002,1753694002,1.000124190062276691,74839077069.92641121635419406716,1000000000,1000357365.86124,0.000009124670843196607,1.00035736586124,0.14908474093372143,-0.034085311246235886,74812341693.005909,229698,298920,208538927.246759
2025-07-04,134070,7985164,1753694002,1753694002,1.000098796612281501,74836810604.00012669317498273516,0,0,0.000009255312290260185,1.00032707051324,0.0612656261644741,-0.029132768689271553,74812341693.005909,204722,263503,169017445.519233
2025-07-05,113689,7991200,1753694002,1753694002,1.000076211008498769,74834932972.64774326080225575174,0,0,0.0000092411097438702,1.00030197263086,0.025411345367876415,-0.03086036695463102,74812341693.005909,172790,227400,81037219.831069
2025-07-06,98779,7998098,1753694003,1753694003,1.000003703993891514,74828571874.18706818616408401484,0,0,0.000009161173240819533,1.00021694523676,0.014101889372066231,-0.061115388359491075,74812341693.005909,160089,206470,109802303.237412
2025-07-07,135270,8007577,1753694003,1753694003,0.999837490531980109,74813022806.71437213084379547763,0,0,0.000009238010511099985,1.00000910429607,-0.008042565783553007,-0.059276458178250314,74812341693.005909,202946,253639,196374311.274772
