time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-02-18,4522,262569,1614335058,1614335058,1.75803742,9109506148.0635,0,0,0.0008715486017468385,9.1095061480635,-17.669209379692084,1000000000,17702,5945
2018-02-19,4278,263800,1614335058,1614335058,1.81056129,9486187006.75287,0,0,0.0008515920701519873,9.48618700675287,-39.071578217116375,1000000000,20422,5203
2018-02-20,5073,264943,1614335058,1614335058,1.70684211,8837419355.87916,0,0,0.0007858325220203578,8.83741935587916,-33.145663563687286,1000000000,17521,6131
2018-02-21,4659,266153,1614335058,1614335058,1.61429371,8300083962.24189,0,0,0.0007935931759078574,8.30008396224189,-38.84463425835556,1000000000,5836,5841
2018-02-22,4567,267491,1614335058,1614335058,1.52830498,7815891087.47963,0,0,0.0007912295330332756,7.81589108747963,-39.829662183245276,1000000000,5757,5787
2018-02-23,4621,268893,1614335058,1614335058,1.59009631,8237493660.56279,0,0,0.0008108515068965819,8.23749366056279,-39.70954243522543,1000000000,5864,5853
2018-02-24,4498,270220,1614335058,1614335058,1.53016564,7893096761.95928,0,0,0.0008148468308353824,7.89309676195928,-44.676731847072396,1000000000,5645,5657
2018-02-25,4496,271309,1614335058,1614335058,1.50862981,7706034450.29739,0,0,0.0008024421444096279,7.70603445029739,-45.66207167629501,1000000000,5536,5541
2018-02-26,5060,272728,1614335058,1614335058,1.54705871,7966719130.44034,0,0,0.0007725403997621603,7.96671913044034,-43.56143444868846,1000000000,6432,6452
2018-02-27,5263,274398,1614335058,1614335058,1.61476991,8431264619.07293,0,0,0.000791362841177981,8.43126461907293,-40.861930248465086,1000000000,6743,6797
2018-02-28,5046,275761,1614335058,1614335058,1.56835456,8145272273.82882,0,0,0.0007902641451230123,8.14527227382882,-39.05477917168946,1000000000,6281,6319
2018-03-01,4666,276917,1614335059,1614335059,1.6113834,8472880402.66269,0,0,0.000775646898899749,8.47288040266269,-23.55853246049724,1000000000,5798,5813
2018-03-02,5223,277751,1614335059,1614335059,1.53205475,7987104515.71088,0,0,0.0007251736078435915,7.98710451571088,-31.131569815008657,1000000000,6642,6688
2018-03-03,4871,278644,1614335059,1614335059,1.51287232,7894327170.45407,0,0,0.0006909283981139439,7.89432717045407,-20.241299830434023,1000000000,6142,6149
2018-03-04,5628,280131,1614335059,1614335059,1.53565116,8068315216.65508,0,0,0.0007038828052635553,8.06831521665508,-20.69997401367461,1000000000,7093,7119
2018-03-05,5607,281508,1614335059,1614335059,1.51108267,7953433099.05024,0,0,0.0006891660875366022,7.95343309905024,-24.13075362524069,1000000000,6853,6880
2018-03-06,5535,282741,1614335059,1614335059,1.37457858,7118813171.55171,0,0,0.0006667406276769318,7.11881317155171,-20.854066777465537,1000000000,7287,7311
2018-03-07,6029,284071,1614335059,1614335059,1.25213352,6401857577.75666,0,0,0.0006464508328485253,6.40185757775666,-8.288558121742799,1000000000,8100,8165
2018-03-08,6631,285266,1614335059,1614335059,1.20166433,6104938496.60346,0,0,0.0006543009011049161,6.10493849660346,-26.835163170915315,1000000000,8849,8921
2018-03-09,6133,286652,1614335059,1614335059,1.21376438,6033366375.20854,0,0,0.0006502776316781348,6.03336637520854,-20.73257361762922,1000000000,8457,8519
2018-03-10,4773,287784,1614335059,1614335059,1.15533146,5704487268.20826,0,0,0.0006492287076501833,5.70448726820826,-30.53175109007106,1000000000,6012,6054
2018-03-11,4295,288971,1614335059,1614335059,1.20924134,6031022857.62472,0,0,0.0006339412851475722,6.03102285762472,-36.35456880625257,1000000000,5242,5272
2018-03-12,5045,290243,1614335059,1614335059,1.16522991,5723779550.03881,0,0,0.0006256939509592803,5.72377955003881,-35.45964063960497,1000000000,5699,5745
2018-03-13,5775,290823,1614335059,1614335059,1.18726826,5803828090.94205,0,0,0.0006335681338459448,5.80382809094205,-30.95165476752178,1000000000,6942,6985
