time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-03-04,8.0,1612532278.0,6218292.06983577320145,0.0,0.0,142.014798520148,,1.0,8756.36957218001,,-5.640662967890423,710.145,8.0,8.0,5.000500000000001,43786.22604568614876136957218001,1.251375,10957.50197338676001375,0.55,4816.0032646990055,10.011,87660.01578709408011,,0.028672450175752515,0.028019475078109177
2020-03-05,8.0,1612532295.0,6435771.29924171860485,0.0,0.0,30.026441064684,,1.0,9062.61580274693,,-1.0807184448449743,710.145,12.0,12.0,23.65065505,214336.8002014464838764965,2.5881920875,23455.790512722064990916375,2.5,22656.539506867325,31.05830505,281469.4861526647798909965,,0.02934165601544889,0.028309091807607857
2020-03-06,3.0,1612532311.0,6495756.7192032164472,0.0,0.0,710.109494525274,,1.0,9147.08505897136,,-4.996311623830666,710.145,2.0,2.0,1.00005,9147.542413224308568,1.00005,9147.542413224308568,1.00005,9147.542413224308568,2.0001,18295.084826448617136,,0.027856025377676917,0.027482585040350792
2020-03-07,2.0,1612532325.0,6319088.1938015412138,0.0,0.0,102179.136690647482,,1.0,8898.30695675044,,-8.634862556892129,710.145,1.0,1.0,0.00695,61.843233349415558,0.00695,61.843233349415558,0.00695,61.843233349415558,0.00695,61.843233349415558,,0.028129698395179186,0.027142401355204415
2020-03-08,6.0,1612532344.0,5759002.21832179240185,0.0,0.0,86.552257910067,40.864573395733814,1.0,8109.61454114553,,-17.251190396769484,710.145,5.0,5.0,8.20481195,66537.8622970846112330835,1.649942124,13380.39464083894116130572,0.15991328,1296.8350608102766596384,8.24971062,66901.9732041947058065286,,0.03248264901763427,0.029722944413376483
2020-03-09,8.0,1612532363.0,5607578.5529800895559,0.0,0.0,13.13448818547,38.494369095234475,1.0,7896.38531987142,,-20.32941620751294,710.145,15.0,15.0,54.06720002882163,426935.4445941387354507657148146,6.137773337176218199,48466.22327637650474400632054397258,3.0,23689.15595961426,92.06660005764327299,726993.3491456475711995767347589458,,0.03251268895074675,0.02965875635796488
2020-03-10,7.0,1612532380.0,5617195.73111353517775,0.0,0.0,6160.875325006572,38.557918492658956,1.0,7909.92787545295,,-22.077991899839652,710.145,9.0,9.0,0.1152669,911.752865427047642355,0.019622866666666667,155.21546004296318009330929181765,0.016681,131.94550689043065895,0.1766058,1396.93914038666859711,,0.03202045652802835,0.029213631504539095
2020-03-11,4.0,1612532402.0,5638083.55218378527355,0.0,0.0,4017.376868356453,38.697155936293214,1.0,7939.34133477499,,-19.580122397632458,710.145,4.0,4.0,0.17676833,1403.4241090481459080667,1.588384165,12610.72405668655795403335,1.5883841650000001,12610.724056686558747967483477499,6.35353666,50442.8962267462318161334,,0.03187485336139746,0.029178088212780586
2020-03-12,8.0,1612532430.0,3521831.6246531523462,0.0,0.0,149.364984705932,24.128810108650498,1.0,4959.31341437756,,-51.7211257115749,710.145,9.0,13.0,4.754427561440362,23578.69638313757809771329107672,6.352640287126588943,31504.73419266220692789149632331908,0.6928485813278397,3436.053263511617266217874957132,82.584323732645656254,409561.54450460869003779288513126024,,0.08967862631382795,0.06730299747939238
2020-03-13,16.0,1612532450.0,3996477.6111385733601,0.0,0.0,4.774764774959,25.740614290503075,1.0,5627.69238836938,,-45.67935391495475,710.145,24.0,29.0,148.7287926149547,836999.894130548621570935567086,5.461353340857278281,30734.81662653818907342728647943578,0.692,3894.36313275161096,158.379246884861070159,891309.68216960748318566823178733142,,0.09366087632182046,0.06951511060727075
2020-03-14,10.0,1612532468.0,3653818.52957801510355,0.0,0.0,23.659221187546,23.276353964989763,1.0,5145.17250642899,,-49.732071200300254,710.145,8.0,8.0,30.01556959,154435.2834192740717384141,7.62693994875,39241.9217324934300361142625,2.499975,12862.80263675981427525,61.01551959,313935.3738599474402889141,,0.09449182105071982,0.06932301673547145
2020-03-15,6.0,1612532488.0,3805390.5695280660402,0.0,0.0,16.443972977625,23.851301456087803,1.0,5358.61066335476,,-48.28402419486906,710.145,8.0,8.0,43.18573139023507,231415.5207324880302465512034332,28.398275136201303414,152175.29996573065387607747788115064,27.00023484968768,144683.7463786192075830070413568,227.18620108961042731,1217402.3997258452309979026017224956,,0.0949972531777936,0.06961422058979722
