time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2024-04-17,10,285,1746000953,1746000953,,0,,,,,78457191.516556880344175198,18,35,1389321.29733973
2024-04-18,13,286,1746000953,1746000953,,0,,,,,78467629.212822884376654783,30,60,960975.036659717
2024-04-19,19,286,1746000953,1746000953,,0,,,,,78478066.909088888409134368,23,39,133351.776002193
2024-04-20,13,287,1746000953,1746000953,,0,,,,,78488504.605354892441613954,19,37,584812.947203011
2024-04-21,12,287,1746000954,1746000954,,0,,,,,47059750.301620896474093539,17,30,286631.687117993
2024-04-22,10,287,1746000954,1746000954,,0,,,,,47066007.651918878362383547,30,58,264997.54898519
2024-04-23,14,288,1746000954,1746000954,,0,,,,,47072265.002216860250673556,19,38,673831.055010483
2024-04-24,14,289,1746000954,1746000954,,0,,,,,44878522.352514842138963565,17,30,40517.3909498141
2024-04-25,14,293,1746000954,1746000954,,0,,,,,44884487.29408868265044894,12,24,228895.061658566
2024-04-26,35,301,1746000954,1746000954,,0,,,,,44890452.235662523161934314,41,59,463249.80494806
2024-04-27,13,302,1746000954,1746000954,,0,,,,,44896417.177236363673419688,12,21,338354.890136772
2024-04-28,16,306,1746000954,1746000954,,0,,,,,44902382.118810204184905062,22,39,29719.8298675736
2024-04-29,13,309,1746000954,1746000954,,0,,,,,44908347.060384044696390437,14,22,40689.1164327366
2024-04-30,8,311,1746000955,1746000955,,0,,,,,44914312.001957885207875811,6,11,35073.8752803262
2024-05-01,17,312,1746000955,1746000955,,0,,,,,44920276.943531725719361185,24,46,113360.623268143
2024-05-02,11,313,1746000955,1746000955,,0,,,,,44926241.885105566230846559,19,34,419476.725937166
2024-05-03,19,316,1746000955,1746000955,,0,,,,,44932206.826679406742331933,37,67,1331289.80230086
2024-05-04,11,316,1746000955,1746000955,,0,,,,,44938171.768253247253817308,16,30,114341.039341254
2024-05-05,12,316,1746000955,1746000955,,0,,,,,44944136.709827087765302682,16,28,477698.125775804
2024-05-06,11,317,1746000955,1746000955,,0,,,,,44950101.651400928276788056,14,28,229485.891161352
2024-05-07,23,321,1746000955,1746000955,,0,,,,,44956066.59297476878827343,29,49,35633.254357652
2024-05-08,10,321,1746000955,1746000955,,0,,,,,44962031.534548609299758805,18,32,757252.20441505
2024-05-09,11,321,1746000956,1746000956,,0,,,,,44967996.476122449811244179,14,26,35031.5497735808
2024-05-10,12,322,1746000956,1746000956,,0,,,,,44973961.417696290322729553,18,32,351736.200036988
2024-05-11,12,322,1746000956,1746000956,,0,,,,,44979926.359270130834214927,9,17,524003.320671001
2024-05-12,15,324,1746000956,1746000956,,0,,,,,44985891.300843971345700302,12,23,422694.56486684
2024-05-13,7,326,1746000956,1746000956,,0,,,,,44991856.242417811857185676,4,7,475.55119907168
2024-05-14,11,327,1746000956,1746000956,,0,,,,,44997821.18399165236867105,11,21,92919.7195042831
2024-05-15,20,333,1746000956,1746000956,,0,,,,,45003786.125565492880156424,24,40,566376.846367218
2024-05-16,39,355,1746000956,1746000956,,0,,,,,45009751.067139333391641799,92,152,243541.71439197
2024-05-17,28,363,1746000956,1746000956,,0,,,,,45015716.008713173903127173,38,63,147360.072885941
2024-05-18,26,371,1746000956,1746000956,,0,,,,,45021680.950287014414612547,37,59,95815.2006571516
2024-05-19,24,375,1746000957,1746000957,,0,,,,,45027645.891860854926097921,31,58,64390.6368732963
2024-05-20,19,375,1746000957,1746000957,,0,,,,,44101735.403944695437583296,23,38,678768.442597441
2024-05-21,30,380,1746000957,1746000957,,0,,,,,44107576.913655353473004895,33,54,148393.787906832
2024-05-22,30,386,1746000957,1746000957,,0,,,,,44113418.423366011508426493,44,74,1329230.52564934
2024-05-23,39,393,1746000957,1746000957,,0,,,,,44119259.933076669543848092,103,185,2124500.76720881
2024-05-24,37,396,1746000957,1746000957,,0,,,,,44125101.44278732757926969,77,134,1247533.29978612
2024-05-25,24,398,1746000957,1746000957,,0,,,,,44130942.952497985614691289,39,72,43820.0616189949
2024-05-26,18,400,1746000957,1746000957,,0,,,,,44136784.462208643650112887,30,53,45995.4507131169
2024-05-27,15,402,1746000957,1746000957,,0,,,,,44142625.971919301685534485,11,18,11816.2785959948
